Week,intihar: (Turkey)
2020-03-01,40
2020-03-08,41
2020-03-15,37
2020-03-22,27
2020-03-29,30
2020-04-05,28
2020-04-12,33
2020-04-19,25
2020-04-26,37
2020-05-03,34
2020-05-10,34
2020-05-17,39
2020-05-24,39
2020-05-31,36
2020-06-07,38
2020-06-14,44
2020-06-21,39
2020-06-28,54
2020-07-05,44
2020-07-12,47
2020-07-19,39
2020-07-26,50
2020-08-02,37
2020-08-09,40
2020-08-16,39
2020-08-23,40
2020-08-30,36
2020-09-06,47
2020-09-13,60
2020-09-20,54
2020-09-27,38
2020-10-04,26
2020-10-11,37
2020-10-18,33
2020-10-25,34
2020-11-01,29
2020-11-08,32
2020-11-15,42
2020-11-22,33
2020-11-29,29
2020-12-06,50
2020-12-13,48
2020-12-20,37
2020-12-27,37
2021-01-03,39
2021-01-10,36
2021-01-17,39
2021-01-24,38
2021-01-31,45
2021-02-07,49
2021-02-14,100
2021-02-21,49
2021-02-28,41
2021-03-07,43
2021-03-14,44
2021-03-21,39
2021-03-28,47
2021-04-04,33
2021-04-11,33
2021-04-18,35
2021-04-25,40
2021-05-02,62
2021-05-09,51
2021-05-16,52
2021-05-23,50
2021-05-30,42
2021-06-06,53
